"",Crashes Involving Motor Vehicles (Traffic Injuries & Fatalities),"","","","","","",""
Borough,"Pedestrian Injuries","Pedestrian Fatalities","Bicyclist Injuries","Bicyclist Fatalities","Occupant Injuries","Occupant Fatalities","Total  Traffic Injuries","Total Traffic Fatalities"
Manhattan,"2,651",28,"1,187",6,"4,287",9,"8,125",43
Bronx,"1,789",15,416,1,"6,489",20,"8,694",36
Brooklyn,"3,559",48,"1,511",6,"11,482",27,"16,552",81
Queens,"2,596",39,808,7,"11,399",37,"14,803",83
Staten Island,386,6,60,0,"2,409",5,"2,855",11
"Crashes Involving Pedestrians and Bicyclists(not involving Motor Vehicles)","","","","Crashes Involving Bicyclists Only",""
"Pedestrian Injuries","Pedestrian Fatalities","Bicyclist Injuries","Bicyclist Fatalities","Bicyclist Injuries","Bicyclist Fatalities"
177,3,30,0,235,0
10,0,2,0,22,0
86,0,15,0,139,1
32,0,0,0,34,0
0,0,0,0,4,0
"Pedestrian Injuries","Pedestrian Fatalities","Bicyclist Injuries","Bicyclist Fatalities","Occupant Injuries","Occupant Fatalities","Total Injuries"
"2,828",31,"1,452",6,"4,287",9,"8,567"
"1,799",15,440,1,"6,489",20,"8,728"
"3,645",48,"1,665",7,"11,482",27,"16,792"
"2,628",39,842,7,"11,399",37,"14,869"
386,6,64,0,"2,409",5,"2,859"
Borough,Precinct,Crashes,"Bicyclist Injuries","Bicyclist Fatalities","Motor Vehicle Occupant Injuries"
Manhattan,1,73,74,0,0
Manhattan,5,84,84,0,1
Manhattan,6,53,54,0,0
Manhattan,7,50,49,1,0
Manhattan,9,85,86,0,0
Manhattan,10,41,41,0,0
Manhattan,13,129,129,0,1
Manhattan,14,95,95,0,2
Manhattan,17,62,62,0,0
Manhattan,18,76,76,0,0
Manhattan,19,93,93,0,1
Manhattan,20,40,40,0,0
Manhattan,22,7,7,0,0
Manhattan,23,24,22,2,0
Manhattan,24,47,46,1,0
Manhattan,25,26,26,0,1
Manhattan,26,36,36,0,0
Manhattan,28,50,49,1,3
Manhattan,30,21,21,0,0
Manhattan,32,24,25,0,0
Manhattan,33,24,24,0,0
Manhattan,34,48,48,0,0
Manhattan Total,"",1188,1187,5,9
Bronx,40,43,43,0,1
Bronx,41,23,23,0,0
Bronx,42,31,31,0,0
Bronx,43,56,56,1,0
Bronx,44,42,42,0,0
Bronx,45,31,31,0,1
Bronx,46,34,34,0,0
Bronx,47,25,25,0,1
Bronx,48,39,39,0,0
Bronx,49,41,41,0,0
Bronx,50,19,19,0,0
Bronx,52,32,32,0,2
Bronx Total,"",416,416,1,5
Borough,Precinct,Crashes,"BicyclistInjuries","BicyclistFatalities","Motor VehicleOccupant Injuries"
Brooklyn,60,42,43,0,0
Brooklyn,61,69,72,1,1
Brooklyn,62,70,70,0,0
