Borough ,Precinct,Crashes ,Bicyclist Injuries ,Bicyclist Fatalities
Manhattan,1,9,7,0
Manhattan,5,8,7,0
Manhattan,6,5,3,0
Manhattan,7,9,9,0
Manhattan,9,4,4,0
Manhattan,10,8,8,0
Manhattan,13,6,6,0
Manhattan,14,5,4,0
Manhattan,17,2,1,0
Manhattan,18,12,6,0
Manhattan,19,10,9,0
Manhattan,20,8,6,0
Manhattan,22,78,64,0
Manhattan,23,3,1,0
Manhattan,24,2,2,0
Manhattan,25,1,0,0
Manhattan,26,5,4,0
Manhattan,28,1,1,0
Manhattan,30,3,2,0
Manhattan,32,1,1,0
Manhattan,33,2,2,0
Manhattan,34,4,4,0
Bronx,40,0,0,0
Bronx,41,0,0,0
Bronx,42,0,0,0
Bronx,43,6,4,0
Bronx,44,2,2,0
Bronx,45,6,6,0
Bronx,46,1,1,0
Bronx,47,1,1,0
Bronx,48,0,0,0
Bronx,49,1,1,0
Bronx,50,3,3,0
Bronx,52,5,5,0
Brooklyn,60,3,2,0
Brooklyn,61,4,3,0
Brooklyn,62,1,1,0
Brooklyn,63,5,5,0
Brooklyn,66,1,1,0
Brooklyn,67,1,1,0
Brooklyn,68,4,4,0
Brooklyn,69,1,1,0
Brooklyn,70,2,1,0
Brooklyn,71,3,3,0
Brooklyn,72,3,3,0
Brooklyn,73,1,0,0
Brooklyn,75,2,2,0
Brooklyn,76,5,5,0
Brooklyn,77,3,3,0
Brooklyn,78,10,10,0
Brooklyn,79,7,6,0
Brooklyn,81,4,3,0
Brooklyn,83,2,2,0
Brooklyn,84,11,8,0
Brooklyn,88,3,3,0
Brooklyn,90,14,11,0
Brooklyn,94,10,10,0
Queens,100,1,1,0
Queens,101,2,2,0
Queens,102,1,1,0
Queens,103,1,1,0
Queens,104,3,3,0
Queens,105,0,0,0
Queens,106,0,0,0
Queens,107,1,1,0
Queens,108,5,5,0
Queens,109,1,1,0
Queens,110,10,10,0
Queens,111,3,0,0
Queens,112,1,1,0
Queens,113,1,1,0
Queens,114,4,2,0
Queens,115,5,5,0
Staten Island,120,4,4,0
Staten Island,121,0,0,0
Staten Island,122,6,6,0
Staten Island,123,1,1,0
