Borough,Precinct,Crashes,"Bicyclist Injuries","Bicyclist Fatalities","Motor Vehicle Occupant Injuries"
Borough Precinct ,"",Crashes ,Bicyclist Injuries ,Bicyclist Fatalities
Brooklyn ,60,"","",""
Brooklyn ,61,"","",""
Brooklyn ,62,"","",""
Brooklyn ,63,"","",""
Brooklyn ,66,"","",""
Brooklyn ,67,"","",""
Brooklyn ,68,"","",""
Brooklyn ,69,"","",""
Brooklyn ,70,"","",""
Brooklyn ,71,"","",""
Brooklyn ,72,"","",""
Brooklyn ,73,"","",""
Brooklyn ,75,"","",""
Brooklyn ,76,"","",""
Brooklyn ,77,"","",""
Brooklyn ,78,"","",""
Brooklyn ,79,"","",""
Brooklyn ,81,"","",""
Brooklyn ,83,"","",""
Brooklyn ,84,"","",""
Brooklyn ,88,"","",""
Brooklyn ,90,"","",""
Brooklyn ,94,"","",""
Brooklyn Total ,"",0 ,0 ,0
Queens ,100,"","",""
Queens ,101,"","",""
Queens ,102,"","",""
Queens ,103,"","",""
Queens ,104,"","",""
Queens ,105,"","",""
Queens ,106,"","",""
Queens ,107,"","",""
Queens ,108,"","",""
Queens ,109,"","",""
Queens ,110,"","",""
Queens ,111,"","",""
Queens ,112,"","",""
Queens ,113,"","",""
Queens ,114,"","",""
Queens ,115,"","",""
Queens Total ,"",0 ,0 ,0
Staten Island ,120,"","",""
Staten Island ,122,"","",""
Staten Island ,123,"","",""
Staten Island Total ,"",0 ,0 ,0
Citywide Total ,"",2 ,3 ,0
Borough Precinct ,"",Crashes ,Bicyclist Injuries ,Bicyclist Fatalities
Manhattan ,1,"","",""
Manhattan ,5,"","",""
Manhattan ,6,"","",""
Manhattan ,7,"","",""
Manhattan ,9,"","",""
Manhattan ,10,"","",""
Manhattan ,13,"","",""
Manhattan ,14,"","",""
Manhattan ,17,"","",""
Manhattan ,18,"","",""
Manhattan ,19 ,1 ,1 ,0
Manhattan ,20,"","",""
Manhattan ,22 ,5 ,5 ,0
Manhattan ,23,"","",""
Manhattan ,24,"","",""
Manhattan ,25,"","",""
Manhattan ,26,"","",""
Manhattan ,28,"","",""
Manhattan ,30,"","",""
Manhattan ,32,"","",""
Manhattan ,33,"","",""
Manhattan ,34,"","",""
Manhattan Total ,"",6 ,6 ,0
Bronx ,40,"","",""
Bronx ,41,"","",""
Bronx ,42 ,1 ,1 ,0
Bronx ,43,"","",""
Bronx ,44 ,1 ,1 ,0
Bronx ,45,"","",""
Bronx ,46 ,1 ,1 ,0
Bronx ,47,"","",""
Bronx ,48 ,1 ,2 ,0
Bronx ,49,"","",""
Bronx ,50,"","",""
Bronx ,52,"","",""
Bronx Total ,"",4 ,5 ,0
Borough Precinct ,"",Crashes ,Bicyclist Injuries ,Bicyclist Fatalities
Brooklyn ,60,"","",""
Brooklyn ,61,"","",""
Brooklyn ,62,"","",""
Brooklyn ,63,"","",""
Brooklyn ,66,"","",""
Brooklyn ,67,"","",""
Brooklyn ,68,"","",""
Brooklyn ,69,"","",""
Brooklyn ,70,"","",""
Brooklyn ,71,"","",""
Brooklyn ,72,"","",""
Brooklyn ,73,"","",""
Brooklyn ,75,"","",""
Brooklyn ,76,"","",""
Brooklyn ,77,"","",""
Brooklyn ,78 ,1 ,1 ,0
Brooklyn ,79,"","",""
Brooklyn ,81,"","",""
Brooklyn ,83,"","",""
Brooklyn ,84,"","",""
Brooklyn ,88 ,1 ,1 ,0
Brooklyn ,90,"","",""
Brooklyn ,94,"","",""
Brooklyn Total ,"",2 ,2 ,0
