"","","","","","","",""
Borough,"Pedestrian Injuries","Pedestrian Fatalities","Bicyclist Injuries","Bicyclist Fatalities","Occupant Injuries","Occupant Fatalities","Total  Traffic Injuries"
Manhattan,1,8,8,0,1
Manhattan,5,15,15,0,0
Manhattan,6,10,9,0,1
Manhattan,7,5,5,0,0
Manhattan,9,10,11,0,0
Manhattan,10,6,6,0,2
Manhattan,13,14,14,0,3
Manhattan,14,7,7,0,0
Manhattan,17,11,11,0,2
Manhattan,18,8,8,0,1
Manhattan,19,7,6,0,1
Manhattan,20,2,2,0,0
Manhattan,22,29,29,0,7
Manhattan,23,2,2,0,0
Manhattan,24,5,5,0,1
Manhattan,25,0,0,0,0
Manhattan,26,1,2,0,0
Manhattan,28,2,2,0,0
Manhattan,30,3,3,0,0
Manhattan,32,1,1,0,0
Manhattan,33,0,0,0,0
Manhattan,34,4,4,0,0
Manhattan Total,"",150,150,0,19
Bronx,40,2,2,0,0
Bronx,41,0,0,0,0
Bronx,42,0,0,0,0
Bronx,43,0,0,0,0
Bronx,44,2,2,0,0
Bronx,45,0,0,0,0
Bronx,46,3,3,0,0
Bronx,47,0,0,0,0
Bronx,48,0,0,0,0
Bronx,49,0,0,0,0
Bronx,50,0,0,0,0
Bronx,52,2,2,0,0
Borough,Precinct,Crashes,Pedestrian Injuries,Pedestrian Fatalities,Bicyclist Injuries
Brooklyn,60,0,0,0,0
Brooklyn,61,1,1,0,0
Brooklyn,62,2,2,0,0
Brooklyn,63,1,1,0,0
Brooklyn,66,1,1,0,0
Brooklyn,67,2,2,0,0
Brooklyn,68,4,4,0,1
Brooklyn,69,0,0,0,0
Brooklyn,70,2,2,0,0
Brooklyn,71,2,2,0,0
Brooklyn,72,4,4,0,1
Brooklyn,73,0,0,0,0
Brooklyn,75,0,0,0,0
Brooklyn,76,0,0,0,0
Brooklyn,77,5,5,0,0
Brooklyn,78,9,9,0,3
Brooklyn,79,3,3,0,0
Brooklyn,81,1,1,0,0
Brooklyn,83,1,1,0,0
Brooklyn,84,9,9,0,2
Brooklyn,88,7,7,0,0
Brooklyn,90,5,6,0,0
Brooklyn,94,3,3,0,1
Brooklyn Total,"",62,63,0,8
Queens,100,0,0,0,0
Queens,101,0,0,0,0
Queens,102,0,0,0,0
Queens,103,0,0,0,0
Queens,104,5,5,0,1
Queens,105,0,0,0,0
Queens,106,0,0,0,0
Queens,107,0,0,0,0
Queens,108,6,6,0,3
Queens,109,0,0,0,0
Queens,110,5,5,0,1
Queens,111,0,0,0,0
Queens,112,0,0,0,0
Queens,113,0,0,0,0
Queens,114,1,1,0,0
Queens,115,4,4,0,0
Queens Total,"",21,21,0,5
Staten Island,120,0,0,0,0
Staten Island,122,1,1,0,0
Staten Island,123,0,0,0,0
Staten Island Total,"",1,1,0,0
Borough Precinct ,"",Crashes ,Bicyclist Injuries ,Bicyclist Fatalities
Manhattan ,1 ,2 ,3 ,0
Manhattan ,5 ,2 ,2 ,0
Manhattan ,6 ,0 ,0 ,0
Manhattan ,7 ,0 ,0 ,0
Manhattan ,9 ,1 * ,0 ,0
Manhattan ,10 ,5 ,7 ,0
Manhattan ,13 ,3 * ,1 ,0
Manhattan ,14 ,1 ,1 ,0
Manhattan ,17 ,0 ,0 ,0
Manhattan ,18 ,1 ,2 ,0
Manhattan ,19 ,0 ,0 ,0
Manhattan ,20 ,1 ,0 ,0
Manhattan ,22 ,26 * ,20 ,0
Manhattan ,23 ,1 * ,0 ,0
Manhattan ,24 ,1 * ,0 ,0
Manhattan ,25 ,0 ,0 ,0
Manhattan ,26 ,0 ,0 ,0
Manhattan ,28 ,0 ,0 ,0
Manhattan ,30 ,1 * ,1 ,0
Manhattan ,32 ,0 ,0 ,0
Manhattan ,33 ,0 ,0 ,0
Manhattan ,34 ,1 * ,2 ,0
Manhattan Total ,"",46 ,39 ,0
Bronx ,40 ,0 ,0 ,0
Bronx ,41 ,0 ,0 ,0
Bronx ,42 ,0 ,0 ,0
Bronx ,43 ,0 ,0 ,0
Bronx ,44 ,0 ,0 ,0
Bronx ,45 ,0 ,0 ,0
Bronx ,46 ,0 ,0 ,0
Bronx ,47 ,0 ,0 ,0
Bronx ,48 ,0 ,0 ,0
Bronx ,49 ,0 ,0 ,0
Bronx ,50 ,0 ,0 ,0
Bronx ,52 ,0 ,0 ,0
Bronx Total ,"",0 ,0 ,0
Borough Precinct ,"",Crashes ,Bicyclist Injuries ,Bicyclist Fatalities
Brooklyn ,60 ,0 ,0 ,0
Brooklyn ,61 ,0 ,0 ,0
Brooklyn ,62 ,0 ,0 ,0
Brooklyn ,63 ,0 ,0 ,0
Brooklyn ,66 ,0 ,0 ,0
Brooklyn ,67 ,0 ,0 ,0
Brooklyn ,68 ,1 ,1 ,0
Brooklyn ,69 ,0 ,0 ,0
Brooklyn ,70 ,0 ,0 ,0
Brooklyn ,71 ,0 ,0 ,0
Brooklyn ,72 ,1 * ,0 ,0
Brooklyn ,73 ,0 ,0 ,0
Brooklyn ,75 ,0 ,0 ,0
Brooklyn ,76 ,0 ,0 ,0
Brooklyn ,77 ,0 ,0 ,0
Brooklyn ,78 ,8 ,8 ,0
Brooklyn ,79 ,2 * ,2 ,0
Brooklyn ,81 ,0 ,0 ,0
Brooklyn ,83 ,1 ,1 ,0
Brooklyn ,84 ,0 ,0 ,0
Brooklyn ,88 ,1 ,2 ,0
Brooklyn ,90 ,2 * ,1 ,0
Brooklyn ,94 ,1 * ,0 ,0
Brooklyn Total ,"",17 ,15 ,0
Queens ,100 ,0 ,0 ,0
Queens ,101 ,0 ,0 ,0
Queens ,102 ,0 ,0 ,0
Queens ,103 ,0 ,0 ,0
Queens ,104 ,0 ,0 ,0
Queens ,105 ,0 ,0 ,0
Queens ,106 ,1 ,1 ,0
Queens ,107 ,0 ,0 ,0
Queens ,108 ,1 ,1 ,0
Queens ,109 ,0 ,0 ,0
Queens ,110 ,0 ,0 ,0
Queens ,111 ,0 ,0 ,0
Queens ,112 ,0 ,0 ,0
Queens ,113 ,0 ,0 ,0
Queens ,114 ,1 ,1 ,0
Queens ,115 ,0 ,0 ,0
Queens Total ,"",3 ,3 ,0
Staten Island ,120 ,0 ,0 ,0
Staten Island ,122 ,0 ,0 ,0
Staten Island ,123 ,0 ,0 ,0
Staten Island Total ,"",0 ,0 ,0
Citywide Total ,"",66 ,57 ,0
Borough Precinct ,"",Crashes ,Bicyclist Injuries ,Bicyclist Fatalities
Manhattan ,1 ,6 * ,5 ,0
Manhattan ,5 ,9 * ,8 ,0
Manhattan ,6 ,4 ,4 ,0
Manhattan ,7 ,7 * ,5 ,0
Manhattan ,9 ,4 * ,3 ,0
Manhattan ,10 ,2 ,2 ,0
Manhattan ,13 ,4 ,4 ,0
Manhattan ,14 ,7 ,6 ,0
Manhattan ,17 ,0 ,0 ,0
Manhattan ,18 ,10 * ,6 ,0
Manhattan ,19 ,15 * ,12 ,0
Manhattan ,20 ,2 * ,1 ,0
Manhattan ,22 ,61 * ,49 ,0
Manhattan ,23 ,1 ,1 ,0
Manhattan ,24 ,6 * ,5 ,0
Manhattan ,25 ,1 ,1 ,0
Manhattan ,26 ,1 ,1 ,0
Manhattan ,28 ,0 ,0 ,0
Manhattan ,30 ,4 ,4 ,0
Manhattan ,32 ,0 ,0 ,0
Manhattan ,33 ,1 ,1 ,0
Manhattan ,34 ,4 ,4 ,0
Manhattan Total ,"",149 ,122 ,0
Bronx ,40 ,2 ,2 ,0
Bronx ,41 ,3 ,3 ,0
Bronx ,42 ,1 ,2 ,0
Bronx ,43 ,3 * ,2 ,0
Bronx ,44 ,0 ,0 ,0
Bronx ,45 ,1 ,1 ,0
Bronx ,46 ,6 ,6 ,0
Bronx ,47 ,0 ,0 ,0
Bronx ,48 ,1 ,1 ,0
Bronx ,49 ,0 ,1 ,0
Bronx ,50 ,0 ,0 ,0
Bronx ,52 ,4 * ,3 ,0
Bronx Total ,"",21 ,21 ,0
Borough Precinct ,"",Crashes ,Bicyclist Injuries ,Bicyclist Fatalities
Brooklyn ,60 ,2 ,2 ,0
Brooklyn ,61 ,1 ,1 ,0
Brooklyn ,62 ,0 ,0 ,0
Brooklyn ,63 ,1 ,1 ,0
Brooklyn ,66 ,4 ,4 ,0
Brooklyn ,67 ,1 ,1 ,0
Brooklyn ,68 ,1 ,1 ,0
Brooklyn ,69 ,0 ,0 ,0
Brooklyn ,70 ,3 ,3 ,0
Brooklyn ,71 ,2 ,2 ,0
Brooklyn ,72 ,3 ,3 ,0
Brooklyn ,73 ,0 ,0 ,0
Brooklyn ,75 ,4 ,3 ,1
Brooklyn ,76 ,1 ,1 ,0
Brooklyn ,77 ,3 ,3 ,0
Brooklyn ,78 ,11 ,11 ,0
Brooklyn ,79 ,7 * ,6 ,0
Brooklyn ,81 ,0 ,0 ,0
Brooklyn ,83 ,2 ,2 ,0
Brooklyn ,84 ,10 * ,7 ,0
Brooklyn ,88 ,3 ,3 ,0
Brooklyn ,90 ,3 ,1 ,0
Brooklyn ,94 ,5 ,5 ,0
Brooklyn Total ,"",67 ,60 ,1
Queens ,100 ,3 ,3 ,0
Queens ,101 ,2 * ,1 ,0
Queens ,102 ,1 ,1 ,0
Queens ,103 ,1 ,1 ,0
Queens ,104 ,1 ,1 ,0
Queens ,105 ,0 ,0 ,0
Queens ,106 ,1 ,2 ,0
Queens ,107 ,1 ,1 ,0
Queens ,108 ,3 ,3 ,0
Queens ,109 ,6 * ,5 ,0
Queens ,110 ,5 ,5 ,0
Queens ,111 ,2 ,2 ,0
Queens ,112 ,1 ,1 ,0
Queens ,113 ,1 ,1 ,0
Queens ,114 ,4 * ,2 ,0
Queens ,115 ,3 ,4 ,0
Queens Total ,"",35 ,33 ,0
Staten Island ,120 ,0 ,0 ,0
Staten Island ,122 ,0 ,0 ,0
Staten Island ,123 ,0 ,0 ,0
Staten Island Total ,"",0 ,0 ,0
Citywide Total ,"",272 ,236 ,1
10
