"Bicycle Crash Data Report 2015"
"","","","","","","",""
Borough,"Pedestrian Injuries","Pedestrian Fatalities","Bicyclist Injuries","Bicyclist Fatalities","Occupant Injuries","Occupant Fatalities","Total  Traffic Injuries"
Queens,104,"",3,3,0,0
Queens,105,"",0,0,0,0
Queens,106,"",0,0,0,0
Queens,107,"",1,1,0,0
Queens,108,"",0,0,0,0
Queens,109,"",3,4,0,0
Queens,110,"",11,12,0,1
Queens,111,"",1,1,0,0
Queens,112,"",1,1,0,0
Queens,113,"",0,0,0,0
Queens,114,"",6,6,0,2
Queens,115,"",6,6,0,0
Queens Total,"",34,"",37,0,3
Staten Island,120,"",1,1,0,0
Staten Island,121,"",0,0,0,0
Staten Island,122,"",1,2,0,0
Staten Island,123,"",1,1,0,0
Staten Island Total,"",3,"",4,0,0
Borough,Precinct,Crashes,Bicyclist Injuries
Manhattan,1,5,5
Manhattan,5,4,5
Manhattan,6,3,4
Manhattan,7,4,3
Manhattan,9,7,2
Manhattan,10,2,1
Manhattan,13,2,2
Manhattan,14,1,0
Manhattan,17,2,1
Manhattan,18,2,2
Manhattan,19,0,0
Manhattan,20,2,1
Manhattan,22,17,19
Manhattan,23,0,0
Manhattan,24,1,1
Manhattan,25,2,3
Manhattan,26,0,0
Manhattan,28,0,0
Manhattan,30,1,1
Manhattan,32,0,0
Manhattan,33,0,0
Manhattan,34,1,0
Manhattan Total,"",56,50
Bronx,40,1,0
Bronx,41,0,0
Bronx,42,0,0
Bronx,43,1,1
Bronx,44,0,0
Bronx,45,1,1
Bronx,46,0,0
Bronx,47,0,0
Bronx,48,0,0
Bronx,49,1,1
Bronx,50,0,0
Bronx,52,0,0
Borough,Precinct,Crashes,Bicyclist Injuries
Brooklyn,60,0,0
Brooklyn,61,0,0
Brooklyn,62,1,1
Brooklyn,63,0,0
Brooklyn,66,2,2
Brooklyn,67,1,0
Brooklyn,68,2,3
Brooklyn,69,0,0
Brooklyn,70,0,0
Brooklyn,71,0,0
Brooklyn,72,2,3
Brooklyn,73,0,0
Brooklyn,75,0,0
Brooklyn,76,1,0
Brooklyn,77,1,0
Brooklyn,78,4,6
Brooklyn,79,3,2
Brooklyn,81,0,0
Brooklyn,83,1,1
Brooklyn,84,2,2
Brooklyn,88,0,0
Brooklyn,90,4,3
Brooklyn,94,2,3
Brooklyn Total,"",26,26
Queens,100,0,0
Queens,101,0,0
Queens,102,0,0
Queens,103,0,0
Queens,104,1,0
Queens,105,0,0
Queens,106,0,0
Queens,107,0,0
Queens,108,2,2
Queens,109,0,0
Queens,110,0,0
Queens,111,0,0
Queens,112,0,0
Queens,113,0,0
Queens,114,0,0
Queens,115,2,1
Queens Total,"",5,3
Staten Island,120,0,0
Staten Island,121,0,0
Staten Island,122,0,0
Staten Island,123,0,0
Staten Island Total,"",0,0
Borough,Precinct,Crashes,Bicyclist Injuries
Manhattan,1,10,10
Manhattan,5,10,7
Manhattan,6,5,5
Manhattan,7,6,5
Manhattan,9,5,4
Manhattan,10,7,6
Manhattan,13,13,11
Manhattan,14,9,7
Manhattan,17,7,7
Manhattan,18,7,4
Manhattan,19,6,5
Manhattan,20,10,7
Manhattan,22,100,80
Manhattan,23,2,2
Manhattan,24,10,8
Manhattan,25,2,1
Manhattan,26,3,3
Manhattan,28,3,2
Manhattan,30,6,6
Manhattan,32,2,2
Manhattan,33,1,1
Manhattan,34,4,3
Manhattan Total,"",228,186
Bronx,40,2,2
Bronx,41,1,1
Bronx,42,2,1
Bronx,43,3,2
Bronx,44,0,0
Bronx,45,1,1
Bronx,46,3,3
Bronx,47,1,1
Bronx,48,0,0
Bronx,49,3,3
Bronx,50,2,2
Bronx,52,4,4
Borough,Precinct,Crashes,Bicyclist Injuries
Brooklyn,60,5,4
Brooklyn,61,2,2
Brooklyn,62,1,1
Brooklyn,63,2,2
Brooklyn,66,10,9
Brooklyn,67,0,0
Brooklyn,68,3,3
Brooklyn,69,0,0
Brooklyn,70,2,1
Brooklyn,71,4,4
Brooklyn,72,8,8
Brooklyn,73,1,0
Brooklyn,75,3,3
Brooklyn,76,6,4
Brooklyn,77,4,3
Brooklyn,78,14,13
Brooklyn,79,10,8
Brooklyn,81,1,1
Brooklyn,83,2,2
Brooklyn,84,11,9
Brooklyn,88,6,5
Brooklyn,90,23,21
Brooklyn,94,11,9
Brooklyn Total,"",129,112
Queens,100,1,1
Queens,101,2,1
Queens,102,4,4
Queens,103,0,0
Queens,104,6,6
Queens,105,0,0
Queens,106,1,0
Queens,107,1,1
Queens,108,5,5
Queens,109,2,2
Queens,110,4,3
Queens,111,2,2
Queens,112,2,1
Queens,113,0,0
Queens,114,4,4
Queens,115,5,4
Queens Total,"",39,34
Staten Island,120,0,0
Staten Island,121,1,1
Staten Island,122,0,0
Staten Island,123,0,0
Staten Island Total,"",1,1
